# locator.tsv — Saul's fast resolver. Generated by build_index.py on 2026-06-06.
# Look up ONE line: awk -F'\t' '$1=="OR"' register/locator.tsv  (portable exact match; BSD grep
# has no -P). Never Read the whole file. Columns are TAB-separated.
# seed=1 -> file ships in this repo (offline). ranges = article-number BASES present as headings
# (e.g. base 269 covers 269a..). A base absent from ranges = not in this copy: say so and stop
# without reading (no claim/quote made). A base present still needs the file opened to confirm the
# exact article and quote it (Law 2) — every quote comes from a read; not every absence does.
abbrev	sr	file	rank	Stand	status	seed	arts	max	ranges
VPeA	734.25	cc-2000-123.md	verordnung	2026-07-01	in_force	0	15	20	1-5,7,10-15,18-20
VPiB	171.117	cc-2012-613.md	verordnung	2021-11-01	in_force	0	14	14	1-14
VPofi	161.18	cc-2022-490.md	verordnung	2022-10-23	in_force	0	20	20	1-20
VPrP	916.020	cc-2005-752.md	verordnung	2025-01-01	in_force	0	9	12	1-7,10,12
VR-EHB	172.220.143.4	cc-2012-139.md	andere	2021-01-01	in_force	0	0	0	-
VR-ENSI	172.220.143.6	cc-2012-141.md	andere	2025-01-01	in_force	0	0	0	-
VR-ETH 1	172.220.142.1	cc-2012-191.md	andere	2025-01-01	in_force	0	29	36	1,3-11,13-14,17-20,22-30,33-36
VR-ETH 2	172.220.142.2	cc-2012-192.md	andere	2025-01-01	in_force	0	74	85	1-11,13-14,17-20,22-30,33-41,43-51,54-58,60-76,78-85
VR-FINMA	172.220.143.5	cc-2012-140.md	andere	2025-01-01	in_force	0	0	0	-
VR-IGE	172.220.143.2	cc-2012-137.md	andere	2025-01-01	in_force	0	0	0	-
VR-METAS	172.220.143.9	cc-2012-848.md	andere	2025-01-01	in_force	0	0	0	-
VR-PUBLICA	172.220.143.7	cc-2012-142.md	andere	2025-01-01	in_force	0	0	0	-
VR-RAB	172.220.143.3	cc-2012-138.md	andere	2025-01-01	in_force	0	0	0	-
VR-SNM	172.220.143.8	cc-2023-352.md	andere	2025-01-01	in_force	0	0	0	-
VR-Swissmedic	172.220.143.1	cc-2023-351.md	andere	2025-01-01	in_force	0	0	0	-
VRA	221.213.151	cc-1996-756_756_756.md	verordnung	1996-03-01	in_force	0	8	8	1-8
VRAB	172.220.141.1	cc-2012-190.md	andere	2025-01-01	in_force	0	35	43	1,4-11,13-14,17-20,22-30,32-41,43
VREG	814.620	cc-2021-633.md	verordnung	2023-09-01	in_force	0	16	16	1-16
VRHB	172.220.141.2	cc-2012-52.md	andere	2025-01-01	in_force	0	0	0	-
VRKD	513.52	cc-2006-620.md	verordnung	2006-11-01	in_force	0	15	15	1-15
VRLtH	817.022.13	cc-2017-154.md	verordnung	2026-01-01	in_force	0	8	8	1-8
VRP	901.021	cc-2007-885.md	verordnung	2024-04-01	in_force	0	6	6	1-6
VRS	922.27	cc-1990-1678_1678_1678.md	verordnung	2023-12-01	in_force	0	1	13	13
VRSL	520.20	cc-2016-165.md	verordnung	2024-01-01	in_force	0	13	13	1-13
VRV	741.11	cc-1962-1364_1409_1420.md	andere	2026-07-01	in_force	0	46	66	3-4,6-14,16-22,24-25,27-28,33-42,44-48,51-58,66
VRV-L	748.121.11	cc-2015-326.md	verordnung	2021-03-11	in_force	0	31	34	1-19,21-23,25-28,30-34
VSA	513.11	cc-2017-218.md	verordnung	2026-01-01	in_force	0	9	9	1-9
VSB	120.72	cc-2020-546.md	verordnung	2021-01-01	in_force	0	57	57	1-57
VSBN	513.12	cc-2008-351.md	verordnung	2023-04-01	in_force	0	14	17	1-11,15-17
VSEL	513.13	cc-2025-610.md	verordnung	2025-11-01	in_force	0	13	13	1-13
VSFK	817.190	cc-2017-66.md	verordnung	2026-01-01	in_force	0	31	31	1-31
VSFS	520.311	cc-2016-215.md	verordnung	2016-05-01	in_force	0	15	15	1-15
VSG	941.42	cc-2022-352.md	bundesgesetz	2023-09-01	in_force	0	41	43	1-40,43
VSKV-ASTRA	741.013.1	cc-2008-352.md	verordnung	2022-01-01	in_force	0	8	8	1-8
VSL	748.122	cc-2009-463.md	verordnung	2026-01-01	in_force	0	16	15	1,3-15
VSMS	311.039.6	cc-2019-584.md	verordnung	2024-10-01	in_force	0	6	17	4,9,14-17
VSPA	513.76	cc-2006-304.md	verordnung	2006-06-01	in_force	0	7	7	1-7
VSPS	513.73	cc-1997-2147_2147_2147.md	verordnung	1997-10-01	in_force	0	11	11	1-11
VSR	748.126.11	cc-1955-424_441_450.md	verordnung	2021-01-01	in_force	0	10	13	3-4,6-13
VSRL	748.126.1	cc-2001-465.md	verordnung	2002-01-01	in_force	0	9	9	1-9
VSS	817.023.11	cc-2012-573.md	verordnung	2024-07-01	in_force	0	26	26	1-26
VST	745.21	cc-2011-566.md	verordnung	2013-01-01	in_force	0	13	13	1-13
VSUV	431.835	cc-1994-1908_1908_1908.md	verordnung	2012-11-01	in_force	0	20	18	1-18
VSV	741.631	cc-2002-475.md	verordnung	2007-01-01	in_force	0	4	4	1-4
VSVB	611.021	cc-2018-777.md	verordnung	2019-01-01	in_force	0	19	19	1-19
VSZV	742.161	cc-2015-26.md	verordnung	2025-01-01	in_force	0	61	61	1-61
VSoTr	221.433	cc-2021-847.md	verordnung	2024-01-01	in_force	0	18	18	1-18
VSpoFöP	415.011	cc-2012-462.md	verordnung	2027-01-01	in_force	0	68	84	1-2,4-7,10-15,21-34,40-46,50,52-84
VStFG	810.311	cc-2005-105.md	verordnung	2024-11-01	in_force	0	35	35	1-35
VStG	642.21	cc-1966-371_385_384.md	bundesgesetz	2025-01-01	in_force	0	4	5	1,3-5
VStV	642.211	cc-1966-1585_1641_1624.md	verordnung	2025-01-01	in_force	0	64	70	1-15,17-27,29-36,38,41-68,70
VStrR	313.0	cc-1974-1857_1857_1857.md	bundesgesetz	2023-09-01	in_force	0	100	107	1-3,5-23,25-33,35-79,81,84-88,90-107
VTE	742.141.21	cc-2009-800.md	verordnung	2014-02-01	in_force	0	73	73	1-73
VTM	531.32	cc-2020-666.md	verordnung	2024-01-01	in_force	0	16	16	1-16
VTNP	916.441.22	cc-2011-372.md	verordnung	2026-01-01	in_force	0	2	2	1-2
VTS	741.41	cc-1995-4425_4425_4425.md	verordnung	2026-01-01	in_force	0	1	2	2
VTSchS	455.110.2	cc-2021-694.md	verordnung	2025-02-01	in_force	0	31	31	1-31
VUB	946.31	cc-2008-271.md	verordnung	2022-01-01	in_force	0	52	52	1-52
VUB-WBF	946.311	cc-2008-272.md	verordnung	2022-01-01	in_force	0	14	14	1-14
VUFB	172.222.023	cc-2003-58.md	verordnung	2020-01-01	in_force	0	20	20	1-20
VUKBK	444.21	cc-2023-742.md	verordnung	2024-01-01	in_force	0	16	16	1-16
VUM	513.74	cc-2013-568.md	verordnung	2023-01-01	in_force	0	15	16	1-7,9-16
VUV	832.30	cc-1983-1968_1968_1968.md	verordnung	2018-05-01	in_force	0	2	2	1-2
VUZPE	946.39	cc-2011-220.md	verordnung	2024-01-01	in_force	0	19	19	1-19
VVA	510.301	cc-2018-161.md	verordnung	2023-01-01	in_force	0	122	123	1-84,86-123
VVAG	281.41	cc-39-55_55_57.md	verordnung	2017-01-01	in_force	0	13	17	1-2,5-6,8-14,16-17
VVAwG	143.116	cc-2002-664.md	verordnung	2022-05-01	in_force	0	30	35	1,3-12,15-19,21-33,35
VVE	312.81	cc-2004-702.md	verordnung	2011-01-01	in_force	0	15	15	1-15
VVEA	814.600	cc-2015-891.md	verordnung	2026-01-01	in_force	0	3	3	1-3
VVG	221.229.1	cc-24-719_735_717.md	bundesgesetz	2024-01-01	in_force	0	85	100	1-2,4-5,7-8,10-21,23,28-33,35-53,55-79,81-84,88-95,97-100
VVK	832.105	cc-2007-101.md	verordnung	2023-01-01	in_force	0	20	59	1-4,6-20,59
VVK-EDI	832.105.1	cc-2008-228.md	verordnung	2022-01-01	in_force	0	6	6	1-6
VVMH	120.52	cc-2009-847.md	verordnung	2024-01-01	in_force	0	8	9	1,3-9
VVNF	784.102.11	cc-2020-914.md	verordnung	2026-01-01	in_force	0	16	16	1-16
VVS-ÜPF	780.12	cc-2018-36.md	verordnung	2024-01-01	in_force	0	17	17	1-17
VVSG	941.421	cc-2022-353.md	verordnung	2023-01-01	in_force	0	31	31	1-31
VVTA	531.40	cc-2019-517.md	verordnung	2019-11-01	in_force	0	12	12	1-12
VVTNP	916.441.224.1	cc-2025-786.md	verordnung	2026-01-01	in_force	0	56	56	1-56
VVV	741.31	cc-1959-1271_1321_1317.md	andere	2026-01-01	in_force	0	45	60	2,4-19,21,26-28,30-38,40,42,44-46,48-49,52,54,60
VVWAL	142.281	cc-1999-357.md	verordnung	2025-06-15	in_force	0	23	29	14-15,21,26-29
VWBG	844	cc-1971-172_176_176.md	bundesgesetz	2020-01-01	in_force	0	15	23	2-3,5,9-17,20,22-23
VWEG	843.1	cc-1981-2088_2088_2088.md	verordnung	2013-01-01	in_force	0	60	78	5-17,19-27,30,32,34-36,38-41,43,46-57,59-61,63-69,72-76,78
VWEV	742.162	cc-2013-605.md	verordnung	2024-05-10	in_force	0	18	18	1-18
VWL	748.111.1	cc-2005-284.md	verordnung	2023-11-01	in_force	0	17	18	1-3,5-18
VWLV	531.11	cc-2017-309.md	verordnung	2025-11-01	in_force	0	47	47	1-47
VWS	510.514	cc-2017-807.md	verordnung	2018-01-01	in_force	0	11	11	1-11
VZAE	142.201	cc-2007-759.md	verordnung	2026-01-01	in_force	0	69	77	2-4,6-18,21-22,24-27,29-33,35-46,48-52,54-59,62,66-67,70-77
VZAG	631.062	cc-2009-538.md	verordnung	2022-01-01	in_force	0	28	28	1-28
VZEG	742.211	cc-34-19_20_22.md	bundesgesetz	2010-01-01	in_force	0	85	85	1-85
VZG	281.42	cc-36-425_433_469.md	verordnung	2012-01-01	in_force	0	159	136	1-133,135-136
VZSchB	747.201.2	cc-2006-152.md	verordnung	2022-06-01	in_force	0	15	15	1-15
VZV	741.51	cc-1976-2423_2423_2423.md	verordnung	2027-01-01	in_force	0	1	3	3
VZVM	817.022.32	cc-2017-161.md	verordnung	2023-07-01	in_force	0	9	9	1-9
VZertES	943.032	cc-2016-753.md	verordnung	2025-11-01	in_force	0	18	18	1-18
VböV	151.34	cc-2003-669.md	verordnung	2024-07-01	in_force	0	20	26	1-11,18-26
VeVA	814.610	cc-2005-551.md	verordnung	2025-08-01	in_force	0	21	31	1,3-5,7-11,13-15,18-19,21-22,25-27,29,31
VegüV	221.331	cc-2013-782.md	verordnung	2014-01-01	in_force	0	33	33	1-33
VeÜ-VwV	172.021.2	cc-2010-408.md	verordnung	2022-07-01	in_force	0	15	15	1-15
VeÜ-ZSSV	272.1	cc-2010-413.md	verordnung	2025-04-01	in_force	0	14	16	1-6,8-14,16
ViZG	631.062	cc-2022-461.md	verordnung	2026-04-01	in_force	0	29	29	1-29
VlG	172.061	cc-2005-542.md	bundesgesetz	2023-12-04	in_force	0	8	13	1-2,4,8-9,11-13
VlV	172.061.1	cc-2005-543.md	verordnung	2022-08-01	in_force	0	23	23	1-23
VmKI	513.75	cc-2018-731.md	verordnung	2019-01-01	in_force	0	12	13	1-4,6-13
VpM-BAFU	916.202.2	cc-2017-825.md	verordnung	2026-01-15	in_force	0	3	5	1-2,5
VpM-BLW	916.202.1	cc-2019-757.md	verordnung	2025-07-01	in_force	0	6	7	1-4,6-7
VtVtH	817.022.42	cc-2017-162.md	verordnung	2017-06-27	in_force	0	12	12	1-12
VwVG	172.021	cc-1969-737_757_755.md	bundesgesetz	2022-07-01	in_force	0	67	82	1-36,38-39,41-44,47,49,52-55,57-59,61-65,67-69,71,75,77-82
VÜPF	780.11	cc-2018-32.md	verordnung	2024-03-26	in_force	0	39	40	1-38,40
VöB	172.056.11	cc-2020-127.md	verordnung	2023-09-01	in_force	0	31	32	1-30,32
VüV-ÖV	742.147.2	cc-2009-736.md	verordnung	2023-09-01	in_force	0	8	8	1-8
WBV	721.100.1	cc-2025-450.md	verordnung	2025-11-01	in_force	0	34	34	1-34
WCT	0.231.151	cc-2008-358.md	andere	2025-03-04	in_force	0	25	25	1-25
WEFV	831.411	cc-1994-2379_2379_2379.md	verordnung	2017-10-01	in_force	0	19	21	1-11,13-17,19-21
WEG	843	cc-1975-498_498_498.md	bundesgesetz	2013-01-01	in_force	0	64	68	1-20,22-44,46-54,56-58,60-68
WFG	842	cc-2003-423.md	bundesgesetz	2013-01-01	in_force	0	58	61	1-11,13-23,25-56,58-61
WFV	842.1	cc-2004-38.md	verordnung	2020-10-01	in_force	0	61	62	1-39,41-62
WG	514.54	cc-1998-2535_2535_2535.md	bundesgesetz	2023-09-01	in_force	0	1	3	3
WHG	941.13	cc-2004-625.md	bundesgesetz	2022-01-01	in_force	0	10	10	1-10
WPEG	661	cc-1959-2035_2097_2125.md	bundesgesetz	2024-01-01	in_force	0	16	49	9,21-22,26-27,29,31,36,39,41,43-46,48-49
WPEV	661.1	cc-1995-4324_4324_4324.md	verordnung	2021-01-01	in_force	0	40	59	1-2,8,11-12,14,16-17,20-30,32-38,40-45,48,50-52,54-55,58-59
WPPT	0.231.171.1	cc-2008-359.md	andere	2026-01-29	in_force	0	33	33	1-33
WRG	721.80	cc-33-189_191_191.md	bundesgesetz	2026-04-01	in_force	0	44	76	1-5,10-17,22-23,28,30-39,41-44,48,50-51,53,55,59-61,64,68,72,74-76
WRV	721.801	cc-2000-122.md	verordnung	2026-07-01	in_force	0	4	4	1-4
WResV	734.722	cc-2023-43.md	verordnung	2025-12-01	in_force	0	30	30	1-30
WSchG	232.21	cc-2015-613.md	bundesgesetz	2025-07-01	in_force	0	37	37	1-37
WSchV	232.211	cc-2015-614.md	verordnung	2025-07-01	in_force	0	11	11	1-11
WTO	0.935.21	cc-1976-96_95_95.md	andere	2024-07-10	in_force	0	44	45	1-37,39-45
WV	514.541	cc-2008-767.md	verordnung	2025-07-22	in_force	0	63	73	2-6,8-9,11-13,15-29,32-43,46-48,50-54,56-57,64-65,67,69,72-73
WZG	941.10	cc-2000-186.md	bundesgesetz	2020-01-01	in_force	0	12	12	1-12
WZV	721.831	cc-34-209_210_223.md	verordnung	1986-01-01	in_force	0	23	23	1-23
WZVV	922.32	cc-1991-298_298_298.md	verordnung	2025-02-01	in_force	0	4	5	1-2,4-5
WaG	921.0	cc-1992-2521_2521_2521.md	bundesgesetz	2025-08-01	in_force	0	48	57	1-5,9-12,14-34,36,39-40,42-48,50-57
WaV	921.01	cc-1992-2538_2538_2538.md	verordnung	2025-08-01	in_force	0	49	69	1-4,7-9,11-24,31,35,37-38,40-41,44-54,60-69
WeBiG	419.1	cc-2016-132.md	bundesgesetz	2017-01-01	in_force	0	22	22	1-22
WeBiV	419.11	cc-2016-133.md	verordnung	2017-01-01	in_force	0	16	16	1-16
ZAG	364	cc-2008-759.md	bundesgesetz	2022-06-01	in_force	0	33	33	1-33
ZAV	364.3	cc-2008-760.md	verordnung	2023-01-01	in_force	0	39	39	1-39
ZBstG	641.91	cc-2005-443.md	bundesgesetz	2020-01-01	in_force	0	17	26	1-15,25-26
ZDG	824.0	cc-1996-1445_1445_1445.md	bundesgesetz	2025-01-01	in_force	0	56	80	2-6,11,13,15,17,21-30,33-35,37,39-41,44-47,49,51-62,66-75,78-80
ZDPV	824.02	cc-2021-674.md	verordnung	2022-10-01	in_force	0	15	15	1-15
ZDUeV	824.091	cc-1996-2136_2136_2136.md	verordnung	2013-01-01	in_force	0	13	13	1-13
ZDV	824.01	cc-1996-2685_2685_2685.md	verordnung	2026-01-01	in_force	0	59	119	1,3,8,14,19,24,27-29,42-43,46,48-57,59,62-65,68,70-73,76,78-79,83,86-92,94,97,99-102,109,111,119
ZDV-WBF	824.012.2	cc-2017-745.md	verordnung	2026-01-01	in_force	0	15	15	1-15
ZEBG	742.140.2	cc-2009-513.md	bundesgesetz	2016-01-01	in_force	0	20	18	1-18
ZEV	631.012	cc-2007-252.md	verordnung	2026-04-01	in_force	0	28	29	1-3,5-29
ZG	631.0	cc-2007-249.md	bundesgesetz	2023-09-01	in_force	0	124	133	1-43,45-91,93-95,98-103,105-113,117-125,127-133
ZGB	210	cc-24-233_245_233.md	bundesgesetz	2026-07-01	in_force	0	18	27	1-9,11-12,18-20,22-24,27
ZISG	351.6	cc-2002-237.md	bundesgesetz	2019-03-01	in_force	0	59	60	1-48,50-60
ZMessV	941.206	cc-2012-876.md	verordnung	2022-01-01	in_force	0	32	32	1-32
ZPO	272	cc-2010-262.md	bundesgesetz	2026-07-01	in_force	0	247	250	1-40,42-129,131-138,140-250
ZSAV-BiZ	410.21	cc-2020-108.md	andere	2021-01-01	in_force	0	11	11	1-11
ZSAV-HS	414.205	cc-2014-693.md	andere	2015-03-03	in_force	0	11	12	1-9,11-12
ZSTEBV	742.141.22	cc-2014-6.md	verordnung	2014-02-01	in_force	0	35	38	1-4,8-38
ZSV	520.11	cc-2020-888.md	verordnung	2026-01-01	in_force	0	113	113	1-113
ZStGV	172.042.110	cc-1999-490.md	verordnung	2024-11-11	in_force	0	14	18	2-5,7,9-12,14-18
ZStV	211.112.2	cc-2004-362.md	andere	2025-06-01	in_force	0	4	8	2-3,7-8
ZTG	632.10	cc-1987-1871_1871_1871.md	bundesgesetz	2025-03-01	in_force	0	13	17	1,3-7,10-12,14-17
ZUG	851.1	cc-1978-221_221_221.md	bundesgesetz	2017-04-08	in_force	0	30	38	1-4,9-14,16-25,28-29,31-38
ZV	631.01	cc-2007-250.md	andere	2024-10-01	in_force	0	180	184	1-33,35-58,60,62-64,68-144,151-156,158-161,163-178,180-184
ZV-BAZG	631.013	cc-2007-253.md	andere	2022-01-01	in_force	0	56	63	1-7,12-14,18,20,22-23,25-63
ZV-EFD	631.011	cc-2007-251.md	andere	2024-10-01	in_force	0	21	31	1,4-13,16,19-23,26-27,30-31
ZV-EJPD	142.201.1	cc-2015-518.md	verordnung	2025-04-01	in_force	0	3	4	2-4
ZWG	702	cc-2015-886.md	bundesgesetz	2024-10-01	in_force	0	28	28	1-28
ZWV	702.1	cc-2015-887.md	andere	2018-01-01	in_force	0	13	13	1-13
ZentG	360	cc-1995-875_875_875.md	bundesgesetz	2022-06-01	in_force	0	12	16	2-10,13,15-16
ZertES	943.03	cc-2016-752.md	bundesgesetz	2020-01-01	in_force	0	2	2	1-2
ZeugSG	312.2	cc-2012-814.md	bundesgesetz	2022-06-01	in_force	0	36	36	1-36
ZeugSV	312.21	cc-2012-815.md	verordnung	2024-01-01	in_force	0	26	26	1-26
ZuV	817.022.31	cc-2013-842.md	verordnung	2025-07-01	in_force	0	6	14	3-5,12-14
ZustV-PrSV	930.111.5	cc-2010-378.md	verordnung	2024-01-01	in_force	0	9	10	1-4,6-10
ÖREBKV	510.622.4	cc-2009-553.md	verordnung	2024-01-01	in_force	0	34	80	1-33,80
ÜLG	837.2	cc-2021-373.md	bundesgesetz	2025-01-01	in_force	0	23	29	1-4,6,8-14,16-19,21,24-29
ÜLV	837.21	cc-2021-376.md	verordnung	2025-01-01	in_force	0	38	57	1-9,12,14-15,17-25,27,29-31,33,36,41,46-49,52-57
